OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
800,(47.61764259600005: -122.34480669299995),492007,81342,13359,PSL-J357,WALL ST 0050 BLOCK SE SIDE ( 132) 132 FT NE/O 5TH AVE (25-05-11)                                                                                                                                                                                               ,J357,10357004,Belltown,North,SE
801,(47.61781733500004: -122.33143356899996),491879,35530,12909,PSL-W067,STEWART ST 0120 BLOCK SE SIDE ( 105) 105 FT NE/O MINOR AVE (19-12-07)                                                                                                                                                                                          ,W067,21067004,Denny Triangle,North,SE
802,(47.66952601300005: -122.38398895299997),279716,18621,18463,PSL-K034,NW 56TH ST 0200 BLOCK N SIDE ( 440) 440 FT W/O 20TH AVE NW (NW56-20-32)                                                                                                                                                                                        ,K034,11034004,Ballard,Edge,N
803,(47.61782317600006: -122.34391948999996),491791,75786,7893,PSL-W040,6TH AVE 0240 BLOCK NE SIDE (  91) 91 FT NW/O BATTERY ST (06-24-08)                                                                                                                                                                                             ,W040,21040004,Denny Triangle,North,NE
804,(47.61761450300003: -122.34680843899997),492350,81293,13305,PSL-J358,VINE ST 0040 BLOCK NW SIDE ( 122) 122 FT NE/O 4TH AVE (26-04-08)                                                                                                                                                                                               ,J358,10358004,Belltown,North,NW
805,(47.61813092300008: -122.34485179999996),491764,30705,7894,PSL-W043,6TH AVE 0250 BLOCK SW SIDE (  80) 80 FT NW/O WALL ST (06-25-11)                                                                                                                                                                                                ,W043,21043004,Denny Triangle,North,SW
806,(47.617804000000035: -122.34292291099996),491498,76994,9078,PSL-W031,BATTERY ST 0060 BLOCK SE SIDE ( 160) 160 FT NE/O AURORA AVE (24-06-23)                                                                                                                                                                                         ,W031,21031004,Denny Triangle,North,SE
807,(47.61701136500005: -122.34296543399995),491487,53129,7892,PSL-W039,6TH AVE 0230 BLOCK SW SIDE ( 196) 196 FT NW/O BELL ST (06-23-15)                                                                                                                                                                                               ,W039,21039004,Denny Triangle,North,SW
808,(47.62513817800004: -122.35399656999999),282252,36014,13434,PSL-S028,WARREN AVE N 0060 BLOCK E SIDE ( 195) 195 FT N/O MERCER ST (NWN-06-16)                                                                                                                                                                                         ,S028,17028004,Uptown,Edge,E
809,(47.66952287000004: -122.38289155299998),279715,18621,18463,PSL-K033,NW 56TH ST 0200 BLOCK N SIDE ( 169) 169 FT W/O 20TH AVE NW (NW56-20-12)                                                                                                                                                                                        ,K033,11033004,Ballard,Edge,N
810,(47.61718256900008: -122.34282997199995),491323,53130,7892,PSL-W038,6TH AVE 0230 BLOCK NE SIDE ( 209) 209 FT NW/O BELL ST (06-23-16)                                                                                                                                                                                               ,W038,21038004,Denny Triangle,North,NE
811,(47.625060578000046: -122.33322335499997),337426,12682,12692,PSL-U150,ROY ST 0110 BLOCK S SIDE ( 255) 255 FT E/O FAIRVIEW AVE N (N7-11-23)                                                                                                                                                                                           ,U150,19150010,South Lake Union,North,S
812,(47.61813966500006: -122.34681688199998),491007,7265,7249,PSL-J354,5TH AVE 0260 BLOCK SW SIDE ( 139) 139 FT NW/O VINE ST (05-26-09)                                                                                                                                                                                               ,J354,10354004,Belltown,North,SW
813,(47.61629646800003: -122.34484636699995),490969,9150,9076,PSL-J349,BATTERY ST 0040 BLOCK SE SIDE (  80) 80 FT NE/O 4TH AVE (24-04-07)                                                                                                                                                                                             ,J349,10349004,Belltown,North,SE
814,(47.67009763400006: -122.38629894699994),279825,41030,18478,PSL-K059,NW 57TH ST 0220 BLOCK S SIDE ( 366) 366 FT W/O 22ND AVE NW (NW57-22-33)                                                                                                                                                                                        ,K059,11059004,Ballard,Edge,S
815,(47.617132954000056: -122.34472554399997),490951,30102,7247,PSL-J351,5TH AVE 0240 BLOCK NE SIDE ( 124) 124 FT NW/O BATTERY ST (05-24-10)                                                                                                                                                                                            ,J351,10351004,Belltown,North,NE
816,(47.615332049000074: -122.33200846799997),490759,58418,13113,PSL-W058,TERRY AVE 0170 BLOCK NE SIDE ( 108) 108 FT NW/O OLIVE WAY (TY-17-08)                                                                                                                                                                                           ,W058,21058004,Denny Triangle,North,NE
817,(47.61607330500004: -122.34928293299998),282063,25717,2767,PSL-J230,2ND AVE 0260 BLOCK SW SIDE ( 112) 112 FT NW/O VINE ST (02-26-07)                                                                                                                                                                                               ,J230,10230004,Belltown,North,SW
818,(47.62327361200005: -122.33658854499998),339005,35197,12563,PSL-U180,REPUBLICAN ST 0100 BLOCK N SIDE ( 129) 129 FT E/O TERRY AVE N (N5-10-08)                                                                                                                                                                                       ,U180,19180002,South Lake Union,South,N
819,(47.62854072600004: -122.34024218199994),337598,36158,13549,PSL-T002,WESTLAKE EAST RDWY AVE N 0090 BLOCK NE SIDE ( 422) 422 FT NW/O ALOHA ST (NXE4-09-48)                                                                                                                                                                           ,T002,18002007,Westlake Ave N,,NE
820,(47.61662872200003: -122.34822678499995),282061,27281,4393,PSL-J236,3RD AVE 0260 BLOCK SW SIDE (  40) 40 FT NW/O VINE ST (03-26-03)                                                                                                                                                                                                ,J236,10236004,Belltown,North,SW
821,(47.61593570900004: -122.34667248799997),282005,49658,4391,PSL-J228,3RD AVE 0240 BLOCK NE SIDE ( 200) 200 FT NW/O BATTERY ST (03-24-10/12)                                                                                                                                                                                         ,J228,10228004,Belltown,North,NE
822,(47.61640023100006: -122.34745833899996),282059,4438,4392,PSL-J232,3RD AVE 0250 BLOCK NE SIDE ( 147) 147 FT NW/O WALL ST (03-25-10)                                                                                                                                                                                               ,J232,10232004,Belltown,North,NE
823,(47.67974749500007: -122.32511622699997),281941,17614,17437,PSL-P110,NE 71ST ST 0030 BLOCK S SIDE (  83) 83 FT E/O EAST GREEN LAKE DR N (NE71-03-09)                                                                                                                                                                                ,P110,15110002,Green Lake,,S
824,(47.61621644100006: -122.34752935799997),282057,4437,4392,PSL-J233,3RD AVE 0250 BLOCK SW SIDE ( 118) 118 FT NW/O WALL ST (03-25-11)                                                                                                                                                                                               ,J233,10233004,Belltown,North,SW
825,(47.61800997300003: -122.35216994899997),282047,2790,2770,PSL-J221,2ND AVE 0290 BLOCK NE SIDE ( 174) 174 FT NW/O BROAD ST (02-29-14)                                                                                                                                                                                              ,J221,10221004,Belltown,North,NE
826,(47.62124658500005: -122.34613542599999),351832,13058,13075,PSL-S158,TAYLOR AVE N 0030 BLOCK E SIDE ( 103) 103 FT N/O THOMAS ST (NTR-03-14)                                                                                                                                                                                         ,S158,17158010,Uptown Triangle,,E
827,(47.62149719700005: -122.33310798999997),336851,34505,11887,PSL-U105,MINOR AVE N 0030 BLOCK W SIDE ( 235) 235 FT N/O THOMAS ST (NMR-03-21)                                                                                                                                                                                          ,U105,19105010,South Lake Union,South,W
828,(47.62578746600008: -122.35734574299994),282700,23881,23698,PSL-S037,W ROY ST 0009 BLOCK N SIDE ( 114) 114 FT W/O QUEEN ANNE AVE N (W7-00-06)                                                                                                                                                                                       ,S037,17037004,Uptown,Edge,N
829,(47.61496396300004: -122.34105639299997),529515,7262,7244,PSL-J060,5TH AVE 0210 BLOCK NE SIDE ( 201) 201 FT NW/O LENORA ST (05-21--14/16)                                                                                                                                                                                         ,J060,10060002,Belltown,South,NE
830,(47.61813388300004: -122.33650277599997),504164,81114,13117,PSL-W088,TERRY AVE 0210 BLOCK NE SIDE ( 120) 120 FT NW/O LENORA ST (TY-21-10)                                                                                                                                                                                           ,W088,21088004,Denny Triangle,North,NE
831,(47.61786196500003: -122.33007510799996),504079,81686,13737,PSL-W078,YALE AVE 0180 BLOCK NE SIDE ( 135) 135 FT NW/O HOWELL ST (YL-18-10)                                                                                                                                                                                            ,W078,21078004,Denny Triangle,North,NE
832,(47.618104505000076: -122.34944297399994),491685,54985,9686,PSL-J337,CLAY ST 0030 BLOCK NW SIDE ( 152) 152 FT NE/O 3RD AVE (28-03-12)                                                                                                                                                                                               ,J337,10337004,Belltown,North,NW
833,(47.616056505000074: -122.33533388199999),492807,8617,8524,PSL-W107,9TH AVE 0190 BLOCK SW SIDE ( 247) 247 FT NW/O STEWART ST (09-19-21)                                                                                                                                                                                            ,W107,21107004,Denny Triangle,North,SW
834,(47.62465429900004: -122.32931525699996),336515,10157,10167,PSL-U079,EASTLAKE AVE E 0060 BLOCK W SIDE ( 121) 121 FT N/O MERCER ST (EE-06-09)                                                                                                                                                                                        ,U079,19079002,South Lake Union,South,W
835,(47.612250922000044: -122.31890601999999),504646,82673,14774,PSL-G515,E SENECA ST 0100 BLOCK N SIDE (  92) 92 FT E/O 10TH AVE (E12-10-08)                                                                                                                                                                                            ,G515,7515002,Pike-Pine,,N
836,(47.61481886100006: -122.35110361899996),286834,36117,13512,PSL-B136,WESTERN AVE 0260 BLOCK SW SIDE ( 158) 158 FT NW/O VINE ST (OW-26-07)                                                                                                                                                                                           ,B136,2136004,Belltown,North,SW
837,(47.61706289300008: -122.34423223999994),491430,76989,9077,PSL-J350,BATTERY ST 0050 BLOCK NW SIDE (  67) 67 FT NE/O 5TH AVE (24-05-04)                                                                                                                                                                                             ,J350,10350004,Belltown,North,NW
838,(47.62526735900008: -122.35419016999998),282223,36013,13434,PSL-S029,WARREN AVE N 0060 BLOCK W SIDE ( 242) 242 FT N/O MERCER ST (NWN-06-19)                                                                                                                                                                                         ,S029,17029004,Uptown,Edge,W
839,(47.62449396200003: -122.35635429199999),282217,79766,11761,PSL-S009,MERCER ST 0009 BLOCK S SIDE (  66) 66 FT E/O QUEEN ANNE AVE N (N6-00-05)                                                                                                                                                                                       ,S009,17009002,Uptown,Core,S
840,(47.650915422000026: -122.35000541899996),486625,33273,10486,PSL-O013,FREMONT AVE N 0350 BLOCK W SIDE ( 107) 107 FT N/O FREMONT PL N (NFR-35-07)                                                                                                                                                                                     ,O013,22013002,Fremont,,W
841,(47.62466631700005: -122.35587605499995),282216,79765,11761,PSL-S008,MERCER ST 0009 BLOCK N SIDE ( 184) 184 FT E/O QUEEN ANNE AVE N (N6-00-16)                                                                                                                                                                                      ,S008,17008002,Uptown,Core,N
842,(47.62434354100003: -122.35551128199995),282214,1045,1029,PSL-S004,1ST AVE N 0050 BLOCK W SIDE ( 372) 372 FT N/O REPUBLICAN ST (N01-05-31)                                                                                                                                                                                        ,S004,17004002,Uptown,Core,W
843,(47.62371205000005: -122.35551645799995),282213,1045,1029,PSL-S003,1ST AVE N 0050 BLOCK W SIDE ( 141) 141 FT N/O REPUBLICAN ST (N01-05-11)                                                                                                                                                                                        ,S003,17003002,Uptown,Core,W
844,(47.61981997600003: -122.34715974799997),504906,33741,11072,PSL-S141,JOHN ST 0050 BLOCK N SIDE (  84) 84 FT E/O 5TH AVE N (N2-05-06)                                                                                                                                                                                                ,S141,17141004,Uptown Triangle,,N
845,(47.67506015600003: -122.31762544899999),282026,85149,17243,PSL-R112,NE 64TH ST 0090 BLOCK N SIDE ( 255) 255 FT E/O 9TH AVE NE (NE64-09-20)                                                                                                                                                                                         ,R112,16112004,Roosevelt,,N
846,(47.674904309000055: -122.31827489399996),282009,85150,17243,PSL-R113,NE 64TH ST 0090 BLOCK S SIDE (  95) 95 FT E/O 9TH AVE NE (NE64-09-07)                                                                                                                                                                                          ,R113,16113004,Roosevelt,,S
847,(47.68090079800004: -122.32557531999998),282008,18166,18005,PSL-P121,NE MAPLE LEAF PL 0030 BLOCK SE SIDE ( 126) 126 FT NE/O EAST GREEN LAKE DR N (NE73-03-09)                                                                                                                                                                       ,P121,15121002,Green Lake,,SE
848,(47.615678152000044: -122.34661867199998),282007,49657,4391,PSL-J229,3RD AVE 0240 BLOCK SW SIDE ( 127) 127 FT NW/O BATTERY ST (03-24-11)                                                                                                                                                                                            ,J229,10229004,Belltown,North,SW
849,(47.615556938000054: -122.34943500899999),282526,58617,13302,PSL-J282,VINE ST 0010 BLOCK NW SIDE (  99) 99 FT NE/O 1ST AVE (26-01-02)                                                                                                                                                                                                ,J282,10282004,Belltown,North,NW
850,(47.618222341000035: -122.34100890299999),486093,8397,8287,PSL-W021,8TH AVE 0230 BLOCK SW SIDE ( 122) 122 FT NW/O BELL ST (08-23-11)                                                                                                                                                                                               ,W021,21021004,Denny Triangle,North,SW
851,(47.618266316000074: -122.34068917299999),486091,8398,8287,PSL-W020,8TH AVE 0230 BLOCK NE SIDE (  74) 74 FT NW/O BELL ST (08-23-04)                                                                                                                                                                                                ,W020,21020004,Denny Triangle,North,NE
852,(47.616815786000075: -122.34747444599998),282524,81290,13304,PSL-J290,VINE ST 0030 BLOCK SE SIDE ( 118) 118 FT NE/O 3RD AVE (26-03-15)                                                                                                                                                                                               ,J290,10290004,Belltown,North,SE
853,(47.61692326700006: -122.34767476199994),282522,81289,13304,PSL-J288,VINE ST 0030 BLOCK NW SIDE ( 120) 120 FT NE/O 3RD AVE (26-03-02)                                                                                                                                                                                               ,J288,10288004,Belltown,North,NW
854,(47.61247497100004: -122.31927268099997),504707,69090,1194,PSL-G519,10TH AVE 0112 BLOCK E SIDE (  92) 92 FT N/O E SENECA ST (E10-11-E10-11-56)                                                                                                                                                                                     ,G519,7519002,Pike-Pine,,E
855,(47.63239705400008: -122.34054831499998),337659,120175,334710,PSL-T007,WESTLAKE EAST RDWY AVE N 0125 BLOCK E SIDE ( 541) 541 FT N/O COMSTOCK ST (NXE4-13-90)                                                                                                                                                                          ,T007,18007007,Westlake Ave N,,E
856,(47.63169228700008: -122.34063606299998),337658,120175,334710,PSL-T006,WESTLAKE EAST RDWY AVE N 0125 BLOCK E SIDE ( 275) 275 FT N/O COMSTOCK ST (NXE4-13-67)                                                                                                                                                                          ,T006,18006007,Westlake Ave N,,E
857,(47.597072301000026: -122.32626755299998),281455,53242,7985,PSL-M069,6TH AVE S 0060 BLOCK E SIDE ( 142) 142 FT S/O S WELLER ST (S06-06-10)                                                                                                                                                                                          ,M069,13069002,Chinatown/ID,Core,E
858,(47.61690328100008: -122.34084779199998),485321,53433,8165,PSL-W009,7TH AVE 0220 BLOCK SW SIDE ( 200) 200 FT NW/O BLANCHARD ST (07-22-17)                                                                                                                                                                                          ,W009,21009004,Denny Triangle,North,SW
859,(47.59710579500006: -122.32497447199995),281026,57018,11702,PSL-M037,MAYNARD AVE S 0060 BLOCK E SIDE ( 128) 128 FT S/O S WELLER ST (SMD-06-12)                                                                                                                                                                                      ,M037,13037002,Chinatown/ID,Core,E
860,(47.59995378800005: -122.32715404199996),280962,65814,20733,PSL-M025,S MAIN ST 0050 BLOCK S SIDE ( 104) 104 FT E/O 5TH AVE S (S3-05-05)                                                                                                                                                                                             ,M025,13025002,Chinatown/ID,Edge,S
861,(47.62604522300006: -122.33131264999997),339025,35889,13269,PSL-U157,VALLEY ST 0120 BLOCK N SIDE ( 295) 295 FT E/O MINOR AVE N (N8-12-22)                                                                                                                                                                                           ,U157,19157010,South Lake Union,North,N
862,(47.623919958000045: -122.32081517899996),166467,54738,9455,PSL-F028,BROADWAY E 0050 BLOCK E SIDE ( 276) 276 FT N/O E REPUBLICAN ST (EBY-05-24)                                                                                                                                                                                     ,F028,6028002,Capitol Hill,North,E
863,(47.61182621200004: -122.31978709899994),504432,54754,9471,PSL-G508,BROADWAY CT 0110 BLOCK E SIDE (  70) 70 FT N/O E MADISON ST (BYC-11-BYC-11-04.)                                                                                                                                                                                ,G508,7508304,Pike-Pine,,E
864,(47.597434820000046: -122.32586638499998),281143,66614,21532,PSL-M057,S WELLER ST 0060 BLOCK S SIDE ( 104) 104 FT E/O 6TH AVE S (S6-06-09)                                                                                                                                                                                           ,M057,13057002,Chinatown/ID,Core,S
865,(47.61341346200004: -122.31930993499998),505166,69094,1195,PSL-G526,10TH AVE 0140 BLOCK E SIDE ( 159) 159 FT N/O E UNION ST (E10-14-12)                                                                                                                                                                                            ,G526,7526002,Pike-Pine,,E
866,(47.60556036100007: -122.33533403499996),527917,70734,2753,PSL-D062,2ND AVE 0100 BLOCK NE SIDE ( 130) 130 FT NW/O MADISON ST (02-10-10)                                                                                                                                                                                            ,D062,4062002,Commercial Core,Financial,NE
867,(47.613014460000045: -122.33678981699995),527915,34661,12043,PSL-E060,OLIVE WAY 0050 BLOCK NW SIDE ( 172) 172 FT NE/O 5TH AVE (17-05-08)                                                                                                                                                                                             ,E060,5060202,Commercial Core,Retail,NW
868,(47.61038216700007: -122.333907066),504494,75781,7882,PSL-E023,6TH AVE 0140 BLOCK SW SIDE (  93) 93 FT NW/O UNION ST (06-14-07)                                                                                                                                                                                               ,E023,5023002,Commercial Core,Retail,SW
869,(47.60681412400004: -122.33609639699995),527905,35417,12772,PSL-E083,SENECA ST 0020 BLOCK NW SIDE (  85) 85 FT NE/O 2ND AVE (12-02-04)                                                                                                                                                                                              ,E083,5083002,Commercial Core,Retail,NW
870,(47.60719596700005: -122.33476771),527903,35422,12773,PSL-E085,SENECA ST 0030 BLOCK SE SIDE ( 120) 120 FT NE/O 3RD AVE (12-03-09)                                                                                                                                                                                             ,E085,5085002,Commercial Core,Retail,SE
871,(47.606740536000075: -122.33393858499994),527900,58177,12862,PSL-D050,SPRING ST 0030 BLOCK NW SIDE ( 208) 208 FT NE/O 3RD AVE (11-03-40)                                                                                                                                                                                             ,D050,4050102,Commercial Core,Financial,NW
872,(47.61621548100004: -122.33529471999998),504188,8618,8524,PSL-W089,9TH AVE 0190 BLOCK NE SIDE ( 281) 281 FT NW/O STEWART ST (09-19-26)                                                                                                                                                                                            ,W089,21089004,Denny Triangle,North,NE
873,(47.607091421000064: -122.33267649099997),527897,12846,12863,PSL-D047,SPRING ST 0040 BLOCK SE SIDE ( 221) 221 FT NE/O 4TH AVE (11-04-19)                                                                                                                                                                                             ,D047,4047102,Commercial Core,Financial,SE
874,(47.60639606500007: -122.33304815799994),527896,51474,6126,PSL-D046,4TH AVE 0100 BLOCK NE SIDE (  92) 92 FT NW/O MADISON ST (04-10-08)                                                                                                                                                                                             ,D046,4046502,Commercial Core,Financial,NE
875,(47.61198801900008: -122.31903505599996),504763,14397,14339,PSL-G511,E MADISON ST 0100 BLOCK NW SIDE (  65) 65 FT NE/O 10TH AVE (EMD-10-02)                                                                                                                                                                                         ,G511,7511002,Pike-Pine,,NW
876,(47.60591260800004: -122.32981090299995),527890,75769,7875,PSL-D036,6TH AVE 0080 BLOCK SW SIDE ( 136) 136 FT NW/O COLUMBIA ST (06-08-25)                                                                                                                                                                                           ,D036,4036002,Commercial Core,Financial,SW
877,(47.605587195000055: -122.33997893999998),527839,54002,8722,PSL-B105,ALASKAN WAY 0120 BLOCK NE SIDE ( 135) 135 FT NW/O SENECA ST (OA-12-10)                                                                                                                                                                                         ,B105,2105004,Commercial Core,Waterfront,NE
878,(47.61575063500004: -122.34238750599997),529518,75170,7245,PSL-J063,5TH AVE 0220 BLOCK NE SIDE ( 210) 210 FT NW/O BLANCHARD ST (05-22-16)                                                                                                                                                                                          ,J063,10063002,Belltown,South,NE
879,(47.618202266000026: -122.34568587099994),503824,13298,13306,PSL-J361,VINE ST 0050 BLOCK SE SIDE ( 145) 145 FT NE/O 5TH AVE (26-05-11)                                                                                                                                                                                               ,J361,10361004,Belltown,North,SE
880,(47.612479077000046: -122.31979112299996),504441,77382,9472,PSL-G509,BROADWAY CT 0111 BLOCK E SIDE (  94) 94 FT N/O E SENECA ST (BYC-11-BYC-11-56)                                                                                                                                                                                  ,G509,7509004,Pike-Pine,,E
881,(47.61027288300005: -122.33304640099999),528159,81194,13184,PSL-E020,UNION ST 0060 BLOCK SE SIDE ( 114) 114 FT NE/O 6TH AVE (14-06-09)                                                                                                                                                                                              ,E020,5020102,Commercial Core,Retail,SE
882,(47.615713389000064: -122.33188922899996),490767,78934,10962,PSL-W056,HOWELL ST 0100 BLOCK SE SIDE ( 112) 112 FT NE/O TERRY AVE (18-10-09)                                                                                                                                                                                           ,W056,21056504,Denny Triangle,North,SE
883,(47.66746789500007: -122.39812343599999),277104,94731,274367,PSL-K006,NW 54TH SR ST 0300 BLOCK N SIDE ( 483) 483 FT W/O 30TH WR AVE NW (NW54-30-68)                                                                                                                                                                                  ,K006,11006004,Ballard Locks,,N
884,(47.619790238000064: -122.33772319199994),488483,56357,11079,PSL-U345,JOHN ST 0095 BLOCK N SIDE ( 154) 154 FT E/O WESTLAKE AVE N (N2-09-62)                                                                                                                                                                                          ,U345,19345010,South Lake Union,South,N
885,(47.60964179900003: -122.335000993),528158,35797,13182,PSL-E057,UNION ST 0040 BLOCK NW SIDE ( 219) 219 FT NE/O 4TH AVE (14-04-18)                                                                                                                                                                                              ,E057,5057402,Commercial Core,Retail,NW
886,(47.61966837600005: -122.34844346799997),507408,11134,11071,PSL-S139,JOHN ST 0040 BLOCK S SIDE (  88) 88 FT E/O 4TH AVE N (N2-04-05)                                                                                                                                                                                                ,S139,17139004,Uptown Triangle,,S
887,(47.60956354000007: -122.32366264899997),529443,11870,11871,PSL-H065,MINOR AVE 0090 BLOCK NE SIDE ( 170) 170 FT NW/O MARION ST (MR-09-14)                                                                                                                                                                                           ,H065,8065002,First Hill,,NE
888,(47.61981527900008: -122.34813124799996),507274,11133,11071,PSL-S138,JOHN ST 0040 BLOCK N SIDE ( 124) 124 FT E/O 4TH AVE N (N2-04-N2-04-08)                                                                                                                                                                                         ,S138,17138010,Uptown Triangle,,N
889,(47.615815317000056: -122.33813225799997),528354,36137,13529,PSL-J168,WESTLAKE AVE 0202 BLOCK W SIDE ( 108) 108 FT N/O 7TH AVE (X4-20-23)                                                                                                                                                                                            ,J168,10168002,Denny Triangle,South,W
890,(47.59791060900005: -122.32256357999995),507257,8541,8440,PSL-M084,8TH AVE S 0050 BLOCK W SIDE ( 137) 137 FT S/O S KING ST (S08-05-11)                                                                                                                                                                                            ,M084,13084002,Chinatown/ID,Edge,W
891,(47.613996126000075: -122.32155571099997),528113,59958,14599,PSL-G010,E PIKE ST 0080 BLOCK S SIDE ( 124) 124 FT E/O HARVARD AVE (E15-08-11)                                                                                                                                                                                          ,G010,7010002,Pike-Pine,,S
892,(47.61601049600006: -122.33780148199997),507060,36138,13529,PSL-J366,WESTLAKE AVE 0202 BLOCK E SIDE ( 256) 256 FT N/O 7TH AVE (X4-20-22)                                                                                                                                                                                            ,J366,10366002,Denny Triangle,South,E
893,(47.618952543000034: -122.35424187299998),506854,13445,13431,PSL-S106,WARREN AVE N 0010 BLOCK W SIDE ( 110) 110 FT N/O DENNY WAY (WN-01-09)                                                                                                                                                                                          ,S106,17106004,Uptown,Edge,W
894,(47.614290090000054: -122.33794608799997),528024,7998,7888,PSL-J128,6TH AVE 0193 BLOCK NE SIDE (  63) 63 FT NW/O WESTLAKE AVE (06-19-14)                                                                                                                                                                                           ,J128,10128002,Denny Triangle,South,NE
895,(47.66373965900004: -122.31298838099997),506755,35850,13223,PSL-L054,UNIVERSITY WAY NE 0470 BLOCK E SIDE ( 216) 216 FT N/O NE 47TH ST (NEUW-47-16)                                                                                                                                                                                  ,L054,12054002,University District,Core,E
896,(47.614036171000066: -122.33987512299996),529513,7257,7243,PSL-J058,5TH AVE 0200 BLOCK SW SIDE ( 186) 186 FT NW/O VIRGINIA ST (05-20-17)                                                                                                                                                                                           ,J058,10058002,Belltown,South,SW
897,(47.61156045800004: -122.31961283899994),506222,59702,14338,PSL-G512,E MADISON ST 0095 BLOCK SE SIDE (  57) 57 FT NE/O BROADWAY CT (EMD-09-57)                                                                                                                                                                                      ,G512,7512004,Pike-Pine,,SE
898,(47.61370211000008: -122.31826443199998),506114,69281,1381,PSL-G535,11TH AVE 0140 BLOCK W SIDE ( 262) 262 FT N/O E UNION ST (E11-14-37)                                                                                                                                                                                            ,G535,7535002,Pike-Pine,,W
899,(47.61302298900006: -122.31987732399995),528435,37437,14886,PSL-G072,E UNION ST 0090 BLOCK N SIDE ( 190) 190 FT E/O BROADWAY (E14-09-16)                                                                                                                                                                                            ,G072,7072002,Pike-Pine,,N
900,(47.614461222000045: -122.31697934999994),505935,24569,1546,PSL-G532,12TH AVE 0150 BLOCK W SIDE ( 105) 105 FT N/O E PIKE ST (E12-15-09)                                                                                                                                                                                             ,G532,7532002,Pike-Pine,,W
901,(47.66858552600007: -122.38509976799998),279674,41722,19234,PSL-K024,NW MARKET ST 0220 BLOCK S SIDE (  70) 70 FT W/O LEARY AVE NW (NWMT-22-05)                                                                                                                                                                                      ,K024,11024002,Ballard,Core,S
902,(47.66877366400007: -122.38687304199999),279673,64321,19235,PSL-K023,NW MARKET ST 0225 BLOCK N SIDE ( 125) 125 FT W/O BALLARD AVE NW (NWMT-23-10)                                                                                                                                                                                   ,K023,11023002,Ballard,Core,N
903,(47.66858386400003: -122.38341117499999),279671,87258,19233,PSL-K021,NW MARKET ST 0202 BLOCK S SIDE (  74) 74 FT W/O RUSSELL AVE NW (NWMT-21-07)                                                                                                                                                                                    ,K021,11021002,Ballard,Core,S
904,(47.66858289600003: -122.38243723599999),279670,87254,19232,PSL-K020,NW MARKET ST 0200 BLOCK S SIDE (  62) 62 FT W/O 20TH AVE NW (NWMT-20-03)                                                                                                                                                                                       ,K020,11020002,Ballard,Core,S
905,(47.613239141000065: -122.33659370499998),528020,30701,7886,PSL-J127,6TH AVE 0180 BLOCK SW SIDE (  55) 55 FT NW/O OLIVE WAY (06-18-05)                                                                                                                                                                                              ,J127,10127302,Denny Triangle,South,SW
906,(47.61339223700003: -122.33651097399996),528016,30702,7886,PSL-J126,6TH AVE 0180 BLOCK NE SIDE (  92) 92 FT NW/O OLIVE WAY (06-18-06)                                                                                                                                                                                              ,J126,10126002,Denny Triangle,South,NE
907,(47.66877048100008: -122.383608934),279669,87257,19233,PSL-K019,NW MARKET ST 0202 BLOCK N SIDE ( 123) 123 FT W/O RUSSELL AVE NW (NWMT-21-10)                                                                                                                                                                                   ,K019,11019002,Ballard,Core,N
908,(47.617129298000066: -122.34671520699999),282071,28958,6142,PSL-J249,4TH AVE 0250 BLOCK NE SIDE ( 187) 187 FT NW/O WALL ST (04-25-14)                                                                                                                                                                                               ,J249,10249004,Belltown,North,NE
909,(47.66910703000008: -122.38462216599999),280772,3342,3280,PSL-K051,22ND AVE NW 0550 BLOCK E SIDE ( 137) 137 FT N/O NW MARKET ST (NW22-55-08)                                                                                                                                                                                      ,K051,11051002,Ballard,Core,E
910,(47.61557012600008: -122.33694132499994),528355,13313,13317,PSL-J170,VIRGINIA ST 0070 BLOCK NW SIDE ( 204) 204 FT NE/O 7TH AVE (20-07-18)                                                                                                                                                                                           ,J170,10170002,Denny Triangle,South,NW
911,(47.61694967200003: -122.34931553699994),283248,54953,9641,PSL-J297,CEDAR ST 0020 BLOCK NW SIDE ( 179) 179 FT NE/O 2ND AVE (27-02-14)                                                                                                                                                                                              ,J297,10297004,Belltown,North,NW
912,(47.61350124200004: -122.34057783699996),529490,74026,6137,PSL-J042,4TH AVE 0200 BLOCK NE SIDE ( 183) 183 FT NW/O VIRGINIA ST (04-20-16)                                                                                                                                                                                           ,J042,10042002,Belltown,South,NE
913,(47.61662539300005: -122.34936847499995),283241,54954,9641,PSL-J299,CEDAR ST 0020 BLOCK SE SIDE (  90) 90 FT NE/O 2ND AVE (27-02-07)                                                                                                                                                                                               ,J299,10299004,Belltown,North,SE
914,(47.616020279000054: -122.35015039599995),283233,9678,9640,PSL-J295,CEDAR ST 0010 BLOCK SE SIDE ( 111) 111 FT NE/O 1ST AVE (27-01-9T)                                                                                                                                                                                              ,J295,10295004,Belltown,North,SE
915,(47.61532969900003: -122.32181583299996),528008,37181,14633,PSL-G001,E PINE ST 0080 BLOCK N SIDE (  65) 65 FT E/O HARVARD AVE (E16-08-02)                                                                                                                                                                                           ,G001,7001302,Pike-Pine,,N
