OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
50,(47.65727910800007: -122.31449844499997),529787,54765,9479,PSL-L007,BROOKLYN AVE NE 0410 BLOCK W SIDE ( 140) 140 FT N/O NE 41ST ST (NEBN-41-13)                                                                                                                                                                                    ,L007,12007002,University District,Core,W
51,(47.66857905000006: -122.37971391999997),529780,64318,19229,PSL-K015,NW MARKET ST 0170 BLOCK S SIDE ( 190) 190 FT W/O 17TH AVE NW (NWMT-17-13)                                                                                                                                                                                      ,K015,11015004,Ballard,Edge,S
52,(47.60671920200008: -122.32568609299994),534973,8610,8513,PSL-H507,9TH AVE 0070 BLOCK NE SIDE ( 159) 159 FT NW/O CHERRY ST (09-07-10)                                                                                                                                                                                             ,H507,8507002,First Hill,,NE
53,(47.61453873500005: -122.34828958899999),528129,1026,1016,PSL-J184,1ST AVE 0240 BLOCK NE SIDE ( 162) 162 FT NW/O BATTERY ST (01-24-12)                                                                                                                                                                                            ,J184,10184004,Belltown,North,NE
54,(47.66419836100005: -122.31536594999994),529703,69489,1569,PSL-L113,12TH AVE NE 0470 BLOCK W SIDE ( 379) 379 FT N/O NE 47TH ST (NE12-47-35)                                                                                                                                                                                        ,L113,12113002,University District,Core,W
55,(47.62861600100007: -122.33126666699997),529528,94611,273850,PSL-U230,FAIRVIEW NR AVE N 0100 BLOCK SE SIDE ( 400) 400 FT NE/O WARD ST (NFV-10-68)                                                                                                                                                                                    ,U230,19230002,South Lake Union,North,SE
56,(47.61446843300007: -122.34218915899999),529493,74030,6138,PSL-J045,4TH AVE 0210 BLOCK NE SIDE ( 290) 290 FT NW/O LENORA ST (04-21-24)                                                                                                                                                                                             ,J045,10045002,Belltown,South,NE
57,(47.60837778800004: -122.34229890899996),527858,94421,269164,PSL-B115,PIKE NR ST 0003 BLOCK NW SIDE (  62) 62 FT NE/O ELLIOTT AVE (15-0X-94)                                                                                                                                                                                         ,B115,2115004,Commercial Core,Waterfront,NW
58,(47.60940272500005: -122.32248744599997),529450,34310,11673,PSL-H084,MARION ST 0120 BLOCK SE SIDE ( 232) 232 FT NE/O MINOR AVE (9-12-23)                                                                                                                                                                                            ,H084,8084002,First Hill,,SE
59,(47.60898225500006: -122.32377810199995),529444,11673,11672,PSL-H066,MARION ST 0110 BLOCK NW SIDE ( 195) 195 FT NE/O BOREN AVE (9-11-16)                                                                                                                                                                                            ,H066,8066002,First Hill,,NW
60,(47.61420083300004: -122.34216156099995),529494,74029,6138,PSL-J046,4TH AVE 0210 BLOCK SW SIDE ( 222) 222 FT NW/O LENORA ST (04-21-09)                                                                                                                                                                                             ,J046,10046102,Belltown,South,SW
